load_addr,years_use
서울특별시 강남구 도곡로19길 17,16.0
서울특별시 강남구 도곡로1길 22,24.0
서울특별시 강남구 도곡로21길 15,17.0
서울특별시 강남구 도곡로23길 31,24.0
서울특별시 강남구 도곡로23길 32,26.0
서울특별시 강남구 도곡로28길 8,15.0
서울특별시 강남구 도곡로33길 16,20.0
서울특별시 강남구 도곡로3길 26,26.0
서울특별시 강남구 도곡로43길 20,13.0
서울특별시 강남구 도곡로43길 21,12.0
서울특별시 강남구 도곡로43길 37,16.0
서울특별시 강남구 도곡로4길 31,18.0
서울특별시 강남구 도곡로57길 12,14.0
서울특별시 강남구 도곡로57길 9-7,20.0
서울특별시 강남구 도곡로69길 16,17.0
서울특별시 강남구 도곡로69길 7,18.0
서울특별시 강남구 도곡로6길 14,18.0
서울특별시 강남구 도곡로6길 18,19.0
서울특별시 강남구 도곡로73길 18,18.0
서울특별시 강남구 도곡로78길 13,22.0
서울특별시 강남구 도곡로78길 22,22.0
서울특별시 강남구 도곡로7길 22,19.0
서울특별시 강남구 도곡로7길 23,20.0
서울특별시 강남구 도곡로93길 12,33.0
서울특별시 강남구 도산대로 232,46.0
서울특별시 강남구 도산대로 454,17.0
서울특별시 강남구 도산대로100길 22-15,19.0
서울특별시 강남구 도산대로100길 30,19.0
서울특별시 강남구 도산대로101길 15,21.0
서울특별시 강남구 도산대로101길 29,23.0
서울특별시 강남구 도산대로101길 34,29.0
서울특별시 강남구 도산대로101길 38,19.0
서울특별시 강남구 도산대로23길 18,18.0
서울특별시 강남구 도산대로24길 19,26.0
서울특별시 강남구 도산대로25길 15-17,18.0
서울특별시 강남구 도산대로30길 56,18.0
서울특별시 강남구 도산대로35길 46,15.0
서울특별시 강남구 도산대로46길 21,18.0
서울특별시 강남구 도산대로50길 43,26.0
서울특별시 강남구 도산대로50길 54,20.0
서울특별시 강남구 도산대로54길 48-8,13.0
서울특별시 강남구 도산대로59길 25,14.0
서울특별시 강남구 도산대로61길 19,20.0
서울특별시 강남구 도산대로70길 25,16.0
서울특별시 강남구 도산대로70길 43,17.0
서울특별시 강남구 도산대로78길 51,16.0
서울특별시 강남구 도산대로81길 26,20.0
서울특별시 강남구 도산대로81길 61,27.0
서울특별시 강남구 도산대로81길 69,28.0
서울특별시 강남구 도산대로83길 22,19.0
서울특별시 강남구 도산대로83길 23,19.0
서울특별시 강남구 도산대로83길 27,23.0
서울특별시 강남구 도산대로83길 35,21.0
서울특별시 강남구 도산대로83길 36,24.0
서울특별시 강남구 도산대로83길 43,25.0
서울특별시 강남구 도산대로83길 49,25.0
서울특별시 강남구 도산대로83길 55,24.0
서울특별시 강남구 도산대로83길 58,26.0
서울특별시 강남구 도산대로85길 24,15.0
서울특별시 강남구 도산대로85길 30,9.0
서울특별시 강남구 도산대로85길 50-10,18.0
서울특별시 강남구 도산대로85길 50-14,18.0
서울특별시 강남구 도산대로85길 52,20.0
서울특별시 강남구 도산대로85길 53,27.0
서울특별시 강남구 도산대로85길 56,30.0
서울특별시 강남구 도산대로87길 23,18.0
서울특별시 강남구 도산대로87길 34,18.0
서울특별시 강남구 도산대로87길 38,18.0
서울특별시 강남구 도산대로89길 12,17.0
서울특별시 강남구 도산대로89길 35,15.0
서울특별시 강남구 도산대로89길 49,28.0
서울특별시 강남구 도산대로92길 10,18.0
서울특별시 강남구 도산대로92길 28,5.0
서울특별시 강남구 도산대로96길 39,23.0
서울특별시 강남구 도산대로98길 31,22.0
서울특별시 강남구 도산대로99길 28-7,18.0
서울특별시 강남구 도산대로99길 30,18.0
서울특별시 강남구 도산대로99길 42,18.0
서울특별시 강남구 밤고개로21길 25,8.0
서울특별시 강남구 밤고개로26길 50,7.0
서울특별시 강남구 밤고개로27길 20,7.0
서울특별시 강남구 봉은사로 312,20.0
서울특별시 강남구 봉은사로 448,17.0
서울특별시 강남구 봉은사로 474,19.0
서울특별시 강남구 봉은사로 510,19.0
서울특별시 강남구 봉은사로 516,18.0
서울특별시 강남구 봉은사로 645,9.0
서울특별시 강남구 봉은사로105길 12-7,24.0
서울특별시 강남구 봉은사로109길 14-8,17.0
서울특별시 강남구 봉은사로109길 66-1,30.0
서울특별시 강남구 봉은사로109길 66-7,30.0
서울특별시 강남구 봉은사로111길 25,19.0
서울특별시 강남구 봉은사로111길 26,24.0
서울특별시 강남구 봉은사로111길 34,24.0
서울특별시 강남구 봉은사로113길 25,22.0
서울특별시 강남구 봉은사로113길 33,22.0
서울특별시 강남구 봉은사로11길 11,16.0
서울특별시 강남구 봉은사로11길 12,17.0
서울특별시 강남구 봉은사로21길 19,16.0
서울특별시 강남구 봉은사로29길 25,19.0
서울특별시 강남구 봉은사로29길 26,17.0
서울특별시 강남구 봉은사로29길 35,9.0
서울특별시 강남구 봉은사로34길 53,21.0
서울특별시 강남구 봉은사로51길 18,18.0
서울특별시 강남구 봉은사로51길 36,19.0
서울특별시 강남구 봉은사로51길 40,18.0
서울특별시 강남구 봉은사로55길 36,17.0
서울특별시 강남구 봉은사로57길 17,19.0
서울특별시 강남구 봉은사로57길 33,17.0
서울특별시 강남구 봉은사로57길 37,18.0
서울특별시 강남구 봉은사로61길 34,19.0
서울특별시 강남구 봉은사로63길 47,20.0
서울특별시 강남구 봉은사로68길 65,18.0
서울특별시 강남구 봉은사로71길 13,24.0
서울특별시 강남구 봉은사로71길 19,19.0
서울특별시 강남구 봉은사로72길 33,16.0
서울특별시 강남구 봉은사로73길 23,21.0
서울특별시 강남구 봉은사로74길 5,18.0
서울특별시 강남구 봉은사로81길 8,17.0
