load_addr,years_use
서울특별시 강서구 화곡로68길 103,30.0
서울특별시 강서구 화곡로68길 115,30.0
서울특별시 강서구 화곡로68길 33,25.0
서울특별시 강서구 화곡로72길 56,19.0
서울특별시 관악구  27,18.0
서울특별시 관악구 관악로 103-3,19.0
서울특별시 관악구 관악로 125,23.0
서울특별시 관악구 관악로 133,23.0
서울특별시 관악구 관악로 164,15.0
서울특별시 관악구 관악로 168,15.0
서울특별시 관악구 관악로 195,12.0
서울특별시 관악구 관악로 263,17.0
서울특별시 관악구 관악로 285,22.0
서울특별시 관악구 관악로 304,30.0
서울특별시 관악구 관악로12길 16,21.0
서울특별시 관악구 관악로15길 23-12,10.0
서울특별시 관악구 관악로17길 8,10.0
서울특별시 관악구 관악로28길 66,22.0
서울특별시 관악구 관악로28길 80,17.0
서울특별시 관악구 관악로30길 12,22.0
서울특별시 관악구 관악로30길 27,18.0
서울특별시 관악구 관악로37길 15,19.0
서울특별시 관악구 관악로37길 71,15.0
서울특별시 관악구 관악로40길 60,30.0
서울특별시 관악구 관악로5길 42,24.0
서울특별시 관악구 관악로6길 15,19.0
서울특별시 관악구 관악로6길 21,20.0
서울특별시 관악구 관악로6길 76,18.0
서울특별시 관악구 관악로6길 8,20.0
서울특별시 관악구 관악로6길 82,17.0
서울특별시 관악구 관악로6길 86,18.0
서울특별시 관악구 관악로6길 99,11.0
서울특별시 관악구 관천로 38,8.0
서울특별시 관악구 관천로18길 27,18.0
서울특별시 관악구 관천로18길 32,6.0
서울특별시 관악구 관천로19길 11,16.0
서울특별시 관악구 관천로24길 3,19.0
서울특별시 관악구 관천로27길 2,23.0
서울특별시 관악구 광신길 160,27.0
서울특별시 관악구 구암5가길 49,19.0
서울특별시 관악구 구암길 95,19.0
서울특별시 관악구 국회단지15길 39,19.0
서울특별시 관악구 낙성대로 37,24.0
서울특별시 관악구 낙성대로15길 66,24.0
서울특별시 관악구 낙성대역16길 29,13.0
서울특별시 관악구 낙성대역길 19,18.0
서울특별시 관악구 난곡로 100,13.0
서울특별시 관악구 난곡로 167,19.0
서울특별시 관악구 난곡로 30,14.0
서울특별시 관악구 난곡로 55,14.0
서울특별시 관악구 난곡로 66,15.0
서울특별시 관악구 난곡로 90-39,21.0
서울특별시 관악구 난곡로 98,13.0
서울특별시 관악구 난곡로34길 45,4.0
서울특별시 관악구 난곡로35길 28-7,34.0
서울특별시 관악구 난곡로35길 68,14.0
서울특별시 관악구 난곡로47길 9,21.0
서울특별시 관악구 난곡로48길 20-5,17.0
서울특별시 관악구 난곡로63길 26,10.0
서울특별시 관악구 난곡로64가길 18,21.0
서울특별시 관악구 남부순환로 1430,17.0
서울특별시 관악구 남부순환로 1446,3.0
서울특별시 관악구 남부순환로 1448,5.0
서울특별시 관악구 남부순환로 1727-8,17.0
서울특별시 관악구 남부순환로 1773,10.0
서울특별시 관악구 남부순환로 1777-7,8.0
서울특별시 관악구 남부순환로 1802,24.0
서울특별시 관악구 남부순환로 1811,16.0
서울특별시 관악구 남부순환로 1961-1,16.0
서울특별시 관악구 남부순환로 1963,16.0
서울특별시 관악구 남부순환로 1979,17.0
서울특별시 관악구 남부순환로 1990,17.0
서울특별시 관악구 남부순환로 2068,20.0
서울특별시 관악구 남부순환로144길 71,20.0
서울특별시 관악구 남부순환로166길 90,19.0
서울특별시 관악구 남부순환로172길 41,20.0
서울특별시 관악구 남부순환로194길 7,19.0
서울특별시 관악구 남부순환로198길 10,15.0
서울특별시 관악구 남부순환로198길 7,24.0
서울특별시 관악구 남부순환로218길 1,10.0
서울특별시 관악구 남부순환로218길 37,9.0
서울특별시 관악구 남부순환로220길 29,10.0
서울특별시 관악구 남부순환로228길 85,17.0
서울특별시 관악구 남부순환로228길 87,16.0
서울특별시 관악구 남부순환로230길 111,15.0
서울특별시 관악구 남부순환로230길 117,20.0
서울특별시 관악구 남부순환로230길 93,21.0
서울특별시 관악구 남부순환로230길 94,18.0
서울특별시 관악구 남부순환로233길 19-12,18.0
서울특별시 관악구 남부순환로234길 42,18.0
서울특별시 관악구 남부순환로234길 52,18.0
서울특별시 관악구 남부순환로234길 58,19.0
서울특별시 관악구 남부순환로247길 99,18.0
서울특별시 관악구 남부순환로248길 56,34.0
서울특별시 관악구 남부순환로248길 78,18.0
서울특별시 관악구 남부순환로249길 13-12,15.0
서울특별시 관악구 남부순환로249길 15,14.0
서울특별시 관악구 남부순환로249길 21,14.0
서울특별시 관악구 남부순환로249길 5-10,21.0
서울특별시 관악구 남부순환로249길 5-14,20.0
서울특별시 관악구 남부순환로249길 5-6,18.0
서울특별시 관악구 남부순환로256길 12,18.0
서울특별시 관악구 남부순환로256길 16,18.0
서울특별시 관악구 남부순환로256길 36,20.0
서울특별시 관악구 남부순환로256나길 11,18.0
서울특별시 관악구 남부순환로256나길 15,18.0
서울특별시 관악구 남부순환로256나길 21,18.0
서울특별시 관악구 남부순환로256나길 7,18.0
서울특별시 관악구 남부순환로256라길 11,17.0
서울특별시 관악구 남부순환로256라길 25,17.0
서울특별시 관악구 남부순환로260길 119,14.0
서울특별시 관악구 남부순환로260길 30,20.0
서울특별시 관악구 남부순환로260길 64,15.0
서울특별시 관악구 남부순환로260길 77,19.0
서울특별시 관악구 남부순환로260길 83,21.0
서울특별시 관악구 남부순환로260길 91,19.0
서울특별시 관악구 남부순환로262길 37,19.0
서울특별시 관악구 남현12길 21,17.0
서울특별시 관악구 남현1가길 22,9.0
서울특별시 관악구 남현1가길 42-3,18.0
서울특별시 관악구 남현1길 9,20.0
서울특별시 관악구 남현2길 66,18.0
서울특별시 관악구 남현7길 20,19.0
서울특별시 관악구 남현7길 3,18.0
서울특별시 관악구 남현길 113,16.0
서울특별시 관악구 남현길 141,19.0
서울특별시 관악구 남현길 144,19.0
서울특별시 관악구 남현길 91,18.0
서울특별시 관악구 남현길 96,11.0
서울특별시 관악구 당곡2길 109-11,17.0
서울특별시 관악구 당곡2길 109-13,18.0
서울특별시 관악구 대학18길 6,25.0
서울특별시 관악구 대학18길 9,25.0
서울특별시 관악구 대학20길 27,31.0
서울특별시 관악구 대학5길 46,6.0
서울특별시 관악구 대학7길 26,39.0
서울특별시 관악구 문성로 74,38.0
서울특별시 관악구 문성로 86,26.0
서울특별시 관악구 문성로16나길 25,20.0
서울특별시 관악구 문성로38길 69-7,20.0
서울특별시 관악구 문성로38라길 7,20.0
서울특별시 관악구 미성10길 14,20.0
서울특별시 관악구 미성10길 2,21.0
서울특별시 관악구 미성10길 64,38.0
서울특별시 관악구 미성3길 16,16.0
서울특별시 관악구 미성5길 33,30.0
서울특별시 관악구 미성5길 40,23.0
서울특별시 관악구 미성7길 5-6,18.0
서울특별시 관악구 미성길 122,24.0
서울특별시 관악구 미성길 15,25.0
서울특별시 관악구 미성길 59,22.0
서울특별시 관악구 보라매로 62,26.0
서울특별시 관악구 보라매로3길 29,26.0
서울특별시 관악구 보라매로5가길 7,22.0
서울특별시 관악구 보라매로5길 5,27.0
서울특별시 관악구 보라매로6길 33,44.0
서울특별시 관악구 복은길 129-13,17.0
서울특별시 관악구 봉천로 209,25.0
서울특별시 관악구 봉천로 387,22.0
서울특별시 관악구 봉천로 576,23.0
서울특별시 관악구 봉천로12길 28,10.0
서울특별시 관악구 봉천로21길 62,18.0
서울특별시 관악구 봉천로21길 77,20.0
서울특별시 관악구 봉천로23나길 35,17.0
서울특별시 관악구 봉천로23다길 13,23.0
서울특별시 관악구 봉천로29길 46,17.0
서울특별시 관악구 성현로 14,18.0
서울특별시 관악구 성현로 80,19.0
서울특별시 관악구 솔밭로 24,18.0
서울특별시 관악구 솔밭로7길 16,20.0
서울특별시 관악구 승방1길 101,22.0
서울특별시 관악구 승방1길 38,22.0
서울특별시 관악구 승방1길 46,12.0
서울특별시 관악구 승방1길 51,20.0
서울특별시 관악구 승방1길 66,20.0
서울특별시 관악구 승방1길 83,18.0
서울특별시 관악구 승방3가길 16,21.0
서울특별시 관악구 승방3가길 22,20.0
서울특별시 관악구 승방3가길 31,19.0
서울특별시 관악구 승방3길 36-11,18.0
서울특별시 관악구 승방3길 36-17,18.0
서울특별시 관악구 승방3나길 1,19.0
서울특별시 관악구 승방3나길 2,22.0
서울특별시 관악구 승방3나길 30,20.0
서울특별시 관악구 승방3나길 31,19.0
서울특별시 관악구 승방3나길 41,16.0
서울특별시 관악구 승방4길 2,1.0
서울특별시 관악구 승방4길 20,6.0
서울특별시 관악구 승방4길 6,1.0
서울특별시 관악구 승방7길 11,20.0
서울특별시 관악구 승방길 66,15.0
서울특별시 관악구 승방길 90-1,6.0
서울특별시 관악구 신림로 175,9.0
서울특별시 관악구 신림로 194,2.0
서울특별시 관악구 신림로 318,17.0
서울특별시 관악구 신림로 350,25.0
서울특별시 관악구 신림로11길 151,28.0
서울특별시 관악구 신림로29길 8,29.0
서울특별시 관악구 신림로31가길 19,27.0
서울특별시 관악구 신림로3가길 45-10,27.0
서울특별시 관악구 신림로3가길 45-24,22.0
서울특별시 관악구 신림로3가길 57,17.0
서울특별시 관악구 신림로3가길 7,24.0
서울특별시 관악구 신림로3길 40,26.0
서울특별시 관악구 신림로48길 17-20,25.0
서울특별시 관악구 신림로58길 62-5,44.0
서울특별시 관악구 신림로65길 27,9.0
서울특별시 관악구 신림로66길 42,7.0
서울특별시 관악구 신림로7길 33,17.0
서울특별시 관악구 신림로7길 34,17.0
서울특별시 관악구 신사로 134,10.0
서울특별시 관악구 신사로 82,12.0
서울특별시 관악구 신사로 84,19.0
서울특별시 관악구 신원로 26,29.0
서울특별시 관악구 쑥고개로 100,15.0
서울특별시 관악구 쑥고개로 123,4.0
서울특별시 관악구 쑥고개로 31,20.0
서울특별시 관악구 쑥고개로 33,19.0
서울특별시 관악구 양녕로6나길 18,23.0
서울특별시 관악구 양지길 50-5,18.0
서울특별시 관악구 양지길 52-1,18.0
서울특별시 관악구 은천로 110,9.0
서울특별시 관악구 은천로 137,13.0
서울특별시 관악구 은천로 14,7.0
서울특별시 관악구 은천로 46,48.0
서울특별시 관악구 은천로 61,15.0
서울특별시 관악구 은천로 86,22.0
서울특별시 관악구 은천로 93,17.0
서울특별시 관악구 은천로10길 32,19.0
서울특별시 관악구 은천로15길 16,13.0
서울특별시 관악구 은천로15길 24,18.0
서울특별시 관악구 은천로25가길 6,19.0
서울특별시 관악구 은천로33길 5,18.0
서울특별시 관악구 은천로34길 14,10.0
서울특별시 관악구 은천로34길 15,14.0
서울특별시 관악구 은천로34길 20,10.0
서울특별시 관악구 은천로34길 23,15.0
서울특별시 관악구 은천로34길 24,10.0
서울특별시 관악구 은천로34길 8,14.0
서울특별시 관악구 은천로34길 9,15.0
서울특별시 관악구 은천로39길 56,37.0
서울특별시 관악구 은천로5길 39,51.0
서울특별시 관악구 인헌12길 46-1,22.0
서울특별시 관악구 인헌12길 46-2,21.0
서울특별시 관악구 인헌16길 33-14,17.0
서울특별시 관악구 인헌16길 33-6,17.0
서울특별시 관악구 인헌16길 33-7,17.0
서울특별시 관악구 인헌16길 35,17.0
서울특별시 관악구 인헌16길 47,17.0
서울특별시 관악구 인헌16다길 14,16.0
서울특별시 관악구 인헌1길 34,20.0
서울특별시 관악구 인헌1길 59,19.0
서울특별시 관악구 인헌3길 31,19.0
서울특별시 관악구 인헌길 168,21.0
서울특별시 관악구 인헌길 68,34.0
서울특별시 관악구 장군봉1길 10,12.0
서울특별시 관악구 장군봉1길 12,12.0
서울특별시 관악구 장군봉1길 14,12.0
서울특별시 관악구 장군봉1길 16,12.0
서울특별시 관악구 장군봉1길 6,12.0
서울특별시 관악구 장군봉1길 8,12.0
서울특별시 관악구 장군봉5길 27,19.0
서울특별시 관악구 장군봉8길 15,18.0
서울특별시 관악구 장군봉8길 16,24.0
서울특별시 관악구 조원로 25,48.0
서울특별시 관악구 조원로11길 24,19.0
서울특별시 관악구 조원로12길 28,13.0
서울특별시 관악구 조원로13길 15,26.0
서울특별시 관악구 조원로13길 23,12.0
서울특별시 관악구 조원로13길 36,18.0
서울특별시 관악구 조원로14길 16,29.0
서울특별시 관악구 조원로16길 12,19.0
서울특별시 관악구 조원로16길 7,19.0
서울특별시 관악구 조원로2길 13,40.0
서울특별시 관악구 조원중앙로1길 66,18.0
서울특별시 관악구 중앙길 133,18.0
서울특별시 관악구 중앙길 83-7,20.0
서울특별시 관악구 참숯1길 19,2.0
서울특별시 관악구 청룡10길 45,3.0
서울특별시 관악구 청룡16길 43,3.0
서울특별시 관악구 청룡7길 55,26.0
서울특별시 관악구 청룡8길 10,13.0
서울특별시 관악구 청룡8길 5,22.0
서울특별시 관악구 청룡길 77,16.0
서울특별시 관악구 청룡길 78,16.0
서울특별시 관악구 청림3길 10,7.0
서울특별시 관악구 청림6길 16,8.0
서울특별시 관악구 행운10길 21,8.0
서울특별시 관악구 행운1나길 12,16.0
서울특별시 관악구 행운1마길 2,6.0
서울특별시 관악구 행운5길 20,6.0
서울특별시 관악구 행운5길 8-9,18.0
서울특별시 관악구 호암로 399,22.0
서울특별시 관악구 호암로 417,29.0
서울특별시 관악구 호암로 519,17.0
서울특별시 관악구 호암로 527,27.0
서울특별시 관악구 호암로 541,27.0
서울특별시 관악구 호암로 566,18.0
서울특별시 관악구 호암로 568,18.0
서울특별시 관악구 호암로16길 11,18.0
서울특별시 관악구 호암로16길 5,19.0
서울특별시 광진구  ,4.0
서울특별시 광진구 강변역로4길 34,18.0
서울특별시 광진구 강변역로4길 56,13.0
서울특별시 광진구 광나루로 346,16.0
서울특별시 광진구 광나루로 361,14.0
서울특별시 광진구 광나루로 369,14.0
서울특별시 광진구 광나루로 382,4.0
서울특별시 광진구 광나루로 545,4.0
서울특별시 광진구 광나루로 579,21.0
서울특별시 광진구 광나루로 595,14.0
서울특별시 광진구 광나루로20길 17,5.0
서울특별시 광진구 광나루로36길 52,19.0
서울특별시 광진구 광나루로40길 31,18.0
서울특별시 광진구 광나루로44길 20,8.0
서울특별시 광진구 광나루로44길 40,14.0
서울특별시 광진구 광나루로46길 21,16.0
서울특별시 광진구 광나루로46길 52,19.0
서울특별시 광진구 광나루로54길 13,19.0
서울특별시 광진구 광나루로54길 23,18.0
서울특별시 광진구 광나루로56길 29,25.0
서울특별시 광진구 광나루로56길 32,26.0
서울특별시 광진구 광장로7길 31,20.0
서울특별시 광진구 구의강변로 102,16.0
서울특별시 광진구 구의강변로 106,21.0
서울특별시 광진구 구의강변로 11,39.0
서울특별시 광진구 구의강변로 42,30.0
서울특별시 광진구 구의강변로 64,18.0
서울특별시 광진구 구의강변로 84,20.0
서울특별시 광진구 구의강변로 94,28.0
서울특별시 광진구 구의강변로1길 44,14.0
서울특별시 광진구 구의강변로3가길 39,25.0
서울특별시 광진구 구의강변로3길 16,14.0
서울특별시 광진구 구의강변로3길 53,26.0
서울특별시 광진구 구의강변로5길 7,21.0
서울특별시 광진구 구의로 52,21.0
서울특별시 광진구 구의로16길 28-1,2.0
서울특별시 광진구 구의로16길 28-2,2.0
서울특별시 광진구 구의로16길 58,17.0
서울특별시 광진구 구의로16길 58-1,17.0
서울특별시 광진구 구천면로 29,24.0
서울특별시 광진구 군자로 100-2,28.0
서울특별시 광진구 군자로 100-3,28.0
서울특별시 광진구 군자로 43,6.0
서울특별시 광진구 군자로12길 46,26.0
서울특별시 광진구 긴고랑로 125,21.0
서울특별시 광진구 긴고랑로 149,20.0
서울특별시 광진구 긴고랑로14길 63,19.0
서울특별시 광진구 긴고랑로14길 69,19.0
서울특별시 광진구 긴고랑로15길 32,27.0
서울특별시 광진구 긴고랑로1길 55,46.0
서울특별시 광진구 긴고랑로4길 53,20.0
서울특별시 광진구 능동로 170,3.0
서울특별시 광진구 능동로 18,15.0
서울특별시 광진구 능동로 19,29.0
서울특별시 광진구 능동로 437,19.0
서울특별시 광진구 능동로 50,16.0
서울특별시 광진구 능동로 68,16.0
서울특별시 광진구 능동로19길 35,8.0
서울특별시 광진구 능동로19길 47,23.0
서울특별시 광진구 능동로1길 15,29.0
서울특별시 광진구 능동로3길 17,25.0
서울특별시 광진구 능동로3길 53,31.0
서울특별시 광진구 능동로3다길 13,27.0
서울특별시 광진구 능동로42길 49,19.0
서울특별시 광진구 능동로48길 49,15.0
서울특별시 광진구 능동로4길 40,13.0
서울특별시 광진구 능동로4길 41,21.0
서울특별시 광진구 능동로4길 51,19.0
서울특별시 광진구 능동로4길 78,19.0
서울특별시 광진구 동일로 190,8.0
서울특별시 광진구 동일로 354,17.0
서울특별시 광진구 동일로 380,5.0
서울특별시 광진구 동일로 429,4.0
서울특별시 광진구 동일로 459,24.0
서울특별시 광진구 동일로18길 10,7.0
서울특별시 광진구 동일로22길 81,23.0
서울특별시 광진구 동일로24길 5,23.0
서울특별시 광진구 동일로34길 27,18.0
서울특별시 광진구 동일로38길 17-2,20.0
서울특별시 광진구 동일로40길 34,20.0
서울특별시 광진구 동일로64길 39,5.0
서울특별시 광진구 동일로72길 17,46.0
서울특별시 광진구 동일로76가길 17,20.0
서울특별시 광진구 뚝섬로 45,23.0
서울특별시 광진구 뚝섬로 553,32.0
서울특별시 광진구 뚝섬로 569,34.0
서울특별시 광진구 뚝섬로 576,33.0
서울특별시 광진구 뚝섬로24길 74,16.0
서울특별시 광진구 뚝섬로31길 20,23.0
서울특별시 광진구 뚝섬로33길 20,26.0
서울특별시 광진구 뚝섬로33길 42,30.0
서울특별시 광진구 뚝섬로34길 25-19,20.0
서울특별시 광진구 뚝섬로34길 32,20.0
서울특별시 광진구 뚝섬로34길 67,16.0
서울특별시 광진구 뚝섬로34길 9,27.0
서울특별시 광진구 뚝섬로35길 10,26.0
서울특별시 광진구 뚝섬로35길 32,33.0
서울특별시 광진구 뚝섬로36가길 16,23.0
서울특별시 광진구 뚝섬로36길 19,20.0
서울특별시 광진구 뚝섬로36길 38,18.0
서울특별시 광진구 뚝섬로36길 75,16.0
서울특별시 광진구 뚝섬로41길 20,34.0
서울특별시 광진구 뚝섬로46길 74,17.0
서울특별시 광진구 뚝섬로52길 71,23.0
서울특별시 광진구 뚝섬로52마길 42-15,25.0
서울특별시 광진구 뚝섬로52마길 42-18,29.0
서울특별시 광진구 뚝섬로52마길 56,23.0
서울특별시 광진구 뚝섬로54길 74,24.0
서울특별시 광진구 뚝섬로56가길 10,26.0
서울특별시 광진구 뚝섬로56가길 28,20.0
서울특별시 광진구 뚝섬로56길 35,19.0
서울특별시 광진구 뚝섬로56길 72,29.0
서울특별시 광진구 뚝섬로58길 101,26.0
서울특별시 광진구 뚝섬로66길 7,7.0
서울특별시 광진구 면목로 127,26.0
서울특별시 광진구 아차산로 262,15.0
서울특별시 광진구 아차산로 311,4.0
서울특별시 광진구 아차산로 345,5.0
서울특별시 광진구 아차산로 431,5.0
서울특별시 광진구 아차산로 451,17.0
서울특별시 광진구 아차산로 503-23,26.0
서울특별시 광진구 아차산로 508,26.0
서울특별시 광진구 아차산로 522,27.0
서울특별시 광진구 아차산로 537-17,10.0
서울특별시 광진구 아차산로 540,25.0
서울특별시 광진구 아차산로 544,33.0
서울특별시 광진구 아차산로 549,22.0
서울특별시 광진구 아차산로 552,34.108108108108105
서울특별시 광진구 아차산로 599,15.0
서울특별시 광진구 아차산로 637,44.0
서울특별시 광진구 아차산로22길 24,18.0
서울특별시 광진구 아차산로25길 60,3.0
서울특별시 광진구 아차산로36길 13,20.0
서울특별시 광진구 아차산로36길 39,24.0
서울특별시 광진구 아차산로40길 16-9,19.0
서울특별시 광진구 아차산로46가길 15,5.0
서울특별시 광진구 아차산로46가길 23,17.0
서울특별시 광진구 아차산로58가길 11,20.0
서울특별시 광진구 아차산로58길 55,19.0
서울특별시 광진구 아차산로65길 57,21.0
서울특별시 광진구 아차산로69길 19,23.0
서울특별시 광진구 아차산로69길 29,19.0
서울특별시 광진구 아차산로70길 17-21,35.0
서울특별시 광진구 아차산로70길 30,6.0
서울특별시 광진구 아차산로70길 61,33.0
서울특별시 광진구 아차산로70길 62,32.0
서울특별시 광진구 아차산로76길 31,26.0
서울특별시 광진구 아차산로78가길 17,25.0
서울특별시 광진구 아차산로78가길 3,25.0
서울특별시 광진구 아차산로78가길 31,25.0
서울특별시 광진구 아차산로78길 10,35.0
서울특별시 광진구 아차산로78길 143,28.0
서울특별시 광진구 아차산로78길 18,17.0
서울특별시 광진구 아차산로78길 43,14.0
서울특별시 광진구 아차산로78길 53,16.0
서울특별시 광진구 아차산로78길 63,28.0
서울특별시 광진구 아차산로78길 7,11.0
서울특별시 광진구 영화사로 58,20.0
서울특별시 광진구 영화사로 85,21.0
서울특별시 광진구 영화사로 87,22.0
서울특별시 광진구 영화사로15길 27,22.0
서울특별시 광진구 영화사로16길 43,13.0
서울특별시 광진구 영화사로7길 4,19.0
서울특별시 광진구 용마산로 174,23.0
서울특별시 광진구 용마산로1길 48,13.0
서울특별시 광진구 용마산로1길 7,10.0
서울특별시 광진구 용마산로1길 78,21.0
서울특별시 광진구 용마산로1길 84,20.0
서울특별시 광진구 용마산로2길 45,20.0
서울특별시 광진구 용마산로5길 66,18.0
서울특별시 광진구 자양강변길 251,21.0
서울특별시 광진구 자양강변길 297,25.0
서울특별시 광진구 자양강변길 301,19.0
서울특별시 광진구 자양로 109,16.0
서울특별시 광진구 자양로 113,17.0
서울특별시 광진구 자양로 159,18.0
서울특별시 광진구 자양로 172,7.0
서울특별시 광진구 자양로 207-1,19.0
서울특별시 광진구 자양로 256,2.0
서울특별시 광진구 자양로 304,11.0
서울특별시 광진구 자양로 55,41.0
서울특별시 광진구 자양로13가길 2,10.0
서울특별시 광진구 자양로21길 16-14,17.0
서울특별시 광진구 자양로21길 16-26,21.0
서울특별시 광진구 자양로21길 17,20.0
서울특별시 광진구 자양로21길 25,18.0
서울특별시 광진구 자양로21길 40,18.0
서울특별시 광진구 자양로21길 42-6,15.0
서울특별시 광진구 자양로22길 16,8.0
서울특별시 광진구 자양로26길 71,22.0
서울특별시 광진구 자양로28길 89,22.0
서울특별시 광진구 자양로32길 16,19.0
서울특별시 광진구 자양로3가길 43,31.0
서울특별시 광진구 자양로3길 14-17,18.0
서울특별시 광진구 자양로3길 55,25.0
서울특별시 광진구 자양로44가길 4,16.0
서울특별시 광진구 자양로44길 15,20.0
서울특별시 광진구 자양로46길 9,20.0
서울특별시 광진구 자양로48길 16,19.0
서울특별시 광진구 자양로4나길 44,21.0
서울특별시 광진구 자양로53길 33,18.0
서울특별시 광진구 자양로53길 36,20.0
서울특별시 광진구 자양로53길 40,20.0
서울특별시 광진구 자양로5길 33,17.0
서울특별시 광진구 자양번영로 59,33.0
서울특별시 광진구 자양번영로1길 43,20.0
서울특별시 광진구 자양번영로1길 57,21.0
서울특별시 광진구 자양번영로3길 24,19.0
서울특별시 광진구 자양번영로3길 65,23.0
서울특별시 광진구 자양번영로3길 66,23.0
서울특별시 광진구 자양번영로6길 33,4.0
서울특별시 광진구 자양번영로8길 20,17.0
서울특별시 광진구 천호대로 671,7.0
서울특별시 광진구 천호대로 716,12.0
서울특별시 광진구 천호대로 808,18.0
서울특별시 광진구 천호대로107길 26,20.0
서울특별시 광진구 천호대로110길 78,18.0
서울특별시 광진구 천호대로117길 25,18.0
서울특별시 광진구 천호대로118길 10,21.0
서울특별시 광진구 천호대로119길 16,18.0
서울특별시 광진구 천호대로129길 56,19.0
서울특별시 광진구 천호대로137길 16-10,15.0
서울특별시 광진구 천호대로137길 16-8,15.0
서울특별시 광진구 천호대로137길 19,20.0
서울특별시 구로구 가마산로 231,38.0
서울특별시 구로구 가마산로 268,10.0
서울특별시 구로구 가마산로 280,17.0
서울특별시 구로구 가마산로 283,20.0
서울특별시 구로구 가마산로 284,11.0
서울특별시 구로구 가마산로 285,6.0
서울특별시 구로구 가마산로 286,13.0
서울특별시 구로구 가마산로 87,16.0
서울특별시 구로구 가마산로 97,35.0
서울특별시 구로구 가마산로19길 30,14.0
서울특별시 구로구 가마산로20다길 41,18.0
서울특별시 구로구 가마산로20다길 45,18.0
서울특별시 구로구 가마산로20다길 46,12.0
서울특별시 구로구 가마산로26길 5,8.0
서울특별시 구로구 가마산로27길 11-15,8.0
서울특별시 구로구 가마산로27길 11-7,9.0
서울특별시 구로구 가마산로27길 24,19.0
서울특별시 구로구 가마산로27길 34,19.0
서울특별시 구로구 가마산로27길 66,18.0
서울특별시 구로구 개봉로11길 18-6,21.0
서울특별시 구로구 개봉로15길 84-15,22.0
서울특별시 구로구 개봉로15길 91,34.0
서울특별시 구로구 개봉로17나길 16,20.0
서울특별시 구로구 개봉로17나길 28,22.0
서울특별시 구로구 개봉로17마길 9-17,22.0
서울특별시 구로구 개봉로17마길 9-22,22.0
서울특별시 구로구 개봉로17마길 9-9,23.0
서울특별시 구로구 개봉로17바길 49,18.0
서울특별시 구로구 개봉로17바길 53,18.0
서울특별시 구로구 개봉로17아길 41-13,8.0
서울특별시 구로구 개봉로19길 85,19.0
서울특별시 구로구 개봉로1길 124,22.0
서울특별시 구로구 개봉로1길 170,23.0
서울특별시 구로구 개봉로1길 188,17.0
서울특별시 구로구 개봉로1길 22,47.0
서울특별시 구로구 개봉로1길 46,18.0
서울특별시 구로구 개봉로20길 158,21.0
서울특별시 구로구 개봉로20길 6,21.0
서울특별시 구로구 개봉로23가길 10,4.0
서울특별시 구로구 개봉로2길 133-15,16.0
서울특별시 구로구 개봉로3가길 88-41,34.0
서울특별시 구로구 개봉로3길 51,29.0
서울특별시 구로구 개봉로3길 87,22.0
서울특별시 구로구 경서로1길 14,45.0
서울특별시 구로구 경인로 158,18.0
서울특별시 구로구 경인로 176,29.0
서울특별시 구로구 경인로 187,2.0
서울특별시 구로구 경인로 193-19,20.0
서울특별시 구로구 경인로 230-13,27.0
서울특별시 구로구 경인로 248-13,23.0
서울특별시 구로구 경인로 248-14,24.0
서울특별시 구로구 경인로 271,20.0
서울특별시 구로구 경인로 343,18.0
서울특별시 구로구 경인로 382,23.0
서울특별시 구로구 경인로 390,19.0
서울특별시 구로구 경인로 584,16.0
서울특별시 구로구 경인로 619-3,15.0
서울특별시 구로구 경인로 638,16.0
서울특별시 구로구 경인로 643,22.0
서울특별시 구로구 경인로 662,11.0
서울특별시 구로구 경인로 70,1.0
서울특별시 구로구 경인로11길 2-4,14.0
서울특별시 구로구 경인로19가길 40,8.0
서울특별시 구로구 경인로20길 6,8.0
서울특별시 구로구 경인로20나길 30,17.0
서울특별시 구로구 경인로20나길 63,6.0
서울특별시 구로구 경인로22길 62,19.0
서울특별시 구로구 경인로2길 29,17.0
서울특별시 구로구 경인로2길 30,15.0
서울특별시 구로구 경인로2길 34,15.0
서울특별시 구로구 경인로2길 41,20.0
서울특별시 구로구 경인로2길 42,19.0
서울특별시 구로구 경인로2길 51,14.0
서울특별시 구로구 경인로38길 13,21.0
서울특별시 구로구 경인로40길 11,24.0
서울특별시 구로구 경인로40길 25,35.0
서울특별시 구로구 경인로47가길 10,26.0
서울특별시 구로구 경인로47길 128,14.0
서울특별시 구로구 경인로47길 150,24.0
서울특별시 구로구 경인로47다길 34-7,26.0
서울특별시 구로구 경인로47다길 43,46.0
서울특별시 구로구 경인로59길 7,19.0
서울특별시 구로구 경인로65길 16-15,19.0
서울특별시 구로구 경인로66길 19,4.0
서울특별시 구로구 경인로66길 5,25.0
서울특별시 구로구 경인로67길 23,14.0
서울특별시 구로구 경인로8길 64,20.0
서울특별시 구로구 경인로8길 75,24.0
서울특별시 구로구 고척로 19,17.0
서울특별시 구로구 고척로 238,20.0
서울특별시 구로구 고척로 41,16.0
서울특별시 구로구 고척로 49,24.0
서울특별시 구로구 고척로 5,2.0
서울특별시 구로구 고척로 52,20.0
서울특별시 구로구 고척로 6,19.0
서울특별시 구로구 고척로 82,28.0
서울특별시 구로구 고척로 85,29.0
서울특별시 구로구 고척로 95-6,17.0
