case_year,dong,floor_cat,build_area_cat,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment
2020,서울특별시 종로구 평창동,지하~3층,151m2 이상,1,1327000000,1061600000,1233300000.0,2021,202105,80,93.0,
2019,서울특별시 동대문구 용두동,8~12층,21~60m2,1,745000000,745000000,961060000.0,2021,202105,100,129.0,대항력있는임차인
2020,서울특별시 성북구 안암동1가,8~12층,86~150m2,1,860000000,860000000,974270000.0,2021,202105,100,113.0,대항력있는임차인
2020,서울특별시 성북구 하월곡동,지하~3층,21~60m2,1,595000000,595000000,735790000.0,2021,202105,100,124.0,
2020,서울특별시 중랑구 면목동,지하~3층,6~20m2,1,143000000,143000000,157888880.0,2021,202105,100,110.0,토지및건물 지분매각
2020,서울특별시 중랑구 신내동,13~20층,61~85m2,1,569000000,569000000,606100000.0,2021,202105,100,107.0,선순위전세권
2020,서울특별시 노원구 상계동,4~7층,21~60m2,1,261000000,261000000,415999999.0,2021,202105,100,159.0,
2020,서울특별시 노원구 하계동,4~7층,21~60m2,1,510000000,510000000,564970000.0,2021,202105,100,111.0,대항력있는임차인
2020,서울특별시 구로구 구로동,13~20층,86~150m2,1,940000000,940000000,1188990000.0,2021,202105,100,126.0,
2019,서울특별시 서대문구 홍제동,8~12층,86~150m2,1,568000000,568000000,753009001.0,2021,202105,100,133.0,
2020,서울특별시 관악구 봉천동,8~12층,61~85m2,1,747000000,747000000,800000000.0,2021,202105,100,107.0,대항력있는임차인
2020,서울특별시 성동구 상왕십리동,13~20층,21~60m2,1,320000000,256000000,310600000.0,2021,202105,80,97.0,
2020,서울특별시 강동구 고덕동,8~12층,21~60m2,1,1290000000,1032000000,1362511001.0,2021,202105,80,106.0,
2020,서울특별시 송파구 마천동,8~12층,21~60m2,1,390000000,390000000,471990000.0,2021,202105,100,121.0,
2020,서울특별시 관악구 남현동,4~7층,61~85m2,1,602000000,602000000,618263800.0,2021,202105,100,103.0,대항력있는임차인
2020,서울특별시 송파구 방이동,13~20층,6~20m2,1,205000000,164000000,177800000.0,2021,202105,80,87.0,
2020,서울특별시 송파구 방이동,4~7층,86~150m2,1,2470000000,2470000000,2611000000.0,2021,202105,100,106.0,대항력있는임차인
2019,서울특별시 서대문구 천연동,8~12층,21~60m2,1,580000000,580000000,750009999.0,2021,202104,100,129.0,
2020,서울특별시 은평구 대조동,지하~3층,21~60m2,1,241000000,192800000,207770000.0,2021,202104,80,86.0,대항력있는임차인
2020,서울특별시 동작구 대방동,13~20층,21~60m2,1,503000000,402400000,635000000.0,2021,202104,80,126.0,토지및건물 지분매각
2020,서울특별시 강서구 방화동,8~12층,21~60m2,1,461000000,461000000,588899001.0,2021,202104,100,128.0,대항력있는임차인
2020,서울특별시 영등포구 양평동3가,13~20층,86~150m2,1,950000000,950000000,1036100000.0,2021,202104,100,109.0,대항력있는임차인
2020,서울특별시 용산구 이촌동,,21~60m2,0,120000000,120000000,150000000.0,2021,202104,100,125.0,건물만매각
2020,서울특별시 서초구 방배동,13~20층,21~60m2,1,600000000,600000000,637887000.0,2021,202104,100,106.0,토지및건물 지분매각
2020,서울특별시 도봉구 방학동,13~20층,61~85m2,1,386000000,386000000,563900000.0,2021,202104,100,146.0,
2020,서울특별시 성동구 성수동2가,8~12층,61~85m2,1,699000000,699000000,789300000.0,2021,202104,100,113.0,대항력있는임차인
2020,서울특별시 도봉구 쌍문동,13~20층,61~85m2,1,426000000,426000000,577700000.0,2021,202104,100,136.0,
2020,서울특별시 강북구 미아동,8~12층,86~150m2,1,1070000000,1070000000,1121110000.0,2021,202104,100,105.0,
2020,서울특별시 성동구 금호동1가,4~7층,61~85m2,1,869000000,869000000,1185699900.0,2021,202104,100,136.0,대항력있는임차인
2020,서울특별시 강동구 천호동,지하~3층,61~85m2,1,450000000,450000000,828920000.0,2021,202104,100,184.0,공유물분할경매
2020,서울특별시 송파구 방이동,13~20층,21~60m2,1,901000000,720800000,828920000.0,2021,202104,80,92.0,토지및건물 지분매각
2020,서울특별시 송파구 오금동,4~7층,61~85m2,1,442000000,442000000,539999000.0,2021,202104,100,122.0,대항력있는임차인
2020,서울특별시 중랑구 망우동,8~12층,61~85m2,1,625000000,625000000,711000000.0,2021,202104,100,114.0,
2020,서울특별시 양천구 신월동,지하~3층,21~60m2,1,190000000,121600000,155900000.0,2021,202104,64,82.0,
2020,서울특별시 구로구 구로동,지하~3층,21~60m2,1,107000000,107000000,168100000.0,2021,202104,100,157.0,"공유물분할경매,유치권"
2020,서울특별시 양천구 신정동,21층 이상,61~85m2,1,1090000000,1090000000,1231900000.0,2021,202104,100,113.0,
2020,서울특별시 서대문구 대현동,13~20층,86~150m2,0,472000000,472000000,611000000.0,2021,202104,100,129.0,대지권미등기
2020,서울특별시 광진구 자양동,8~12층,86~150m2,1,1390000000,1390000000,1828000000.0,2021,202104,100,132.0,
2020,서울특별시 송파구 장지동,지하~3층,61~85m2,1,1030000000,1030000000,1301510000.0,2021,202104,100,126.0,공유물분할경매
2020,서울특별시 성북구 정릉동,지하~3층,21~60m2,1,151000000,96640000,125330000.0,2021,202104,64,83.0,
2020,서울특별시 도봉구 도봉동,지하~3층,61~85m2,1,534000000,534000000,601199990.0,2021,202104,100,113.0,
2020,서울특별시 강동구 암사동,4~7층,61~85m2,1,592000000,592000000,610000000.0,2021,202104,100,103.0,
2020,서울특별시 노원구 공릉동,8~12층,86~150m2,1,902000000,902000000,950000000.0,2021,202104,100,105.0,
2020,서울특별시 동작구 신대방동,지하~3층,61~85m2,1,626000000,626000000,632777000.0,2021,202104,100,101.0,토지및건물 지분매각
2020,서울특별시 강남구 도곡동,4~7층,151m2 이상,1,2625000000,2100000000,2330000000.0,2021,202104,80,89.0,대항력있는임차인
2020,서울특별시 광진구 자양동,4~7층,21~60m2,1,944000000,944000000,1059999999.0,2021,202104,100,112.0,
2020,서울특별시 성북구 길음동,13~20층,21~60m2,1,800000000,800000000,823888888.0,2021,202104,100,103.0,
2020,서울특별시 동대문구 장안동,4~7층,61~85m2,0,460000000,368000000,435600000.0,2021,202104,80,95.0,
2020,서울특별시 노원구 상계동,13~20층,86~150m2,1,697000000,697000000,755510000.0,2021,202104,100,108.0,대항력있는임차인
