office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment,floor_cat,build_area_grade,land,date_ym,result,comment_val,gu,dong0,addr_api,Unnamed: 0,addr_name,brand_name,addr_lat,addr_lng
서울남부3계,2020-6600,2020,아파트,"서울특별시 강서구 가양동 1474, 제101동 제4층 제404호 (가양동,경동아파트)",,가양동,1474,제101동,404호,4.0,1474제제가양동아파트,131.4,63.73,1070000000,1070000000,,2021-09-01,2021,9,1,유찰,100,,,4~7층,대형,1,202109,0,0,강서구,서울특별시 강서구 가양동,서울특별시 강서구 가양동 1474,320,서울특별시 강서구 가양동 1474,대림경동아파트,37.56634846638711,126.85403041152964
서울남부4계,2020-6488,2020,아파트,"서울특별시 강서구 화곡동 924-15, 제11층 제1102호 (화곡동,세교예지안6차)",,화곡동,924-15,,1102호,11.0,세교예지안6차,25.7,7.3,181000000,144800000,,2021-09-01,2021,9,1,유찰1회,80,,대항력있는임차인,8~12층,소형,1,202109,0,1,강서구,서울특별시 강서구 화곡동,서울특별시 강서구 화곡동 924-15,467,서울특별시 강서구 화곡동 924-15,세교예지안6차오피스텔,37.529116668175526,126.84155875723462
서울남부3계,2020-102300,2020,아파트,"서울특별시 강서구 화곡동 351-24, 101동 4층 401호 (화곡동,푸른풍경채)",,화곡동,351-24,101동,401호,4.0,푸른풍경채,29.51,19.4,261000000,208800000,,2021-09-01,2021,9,1,유찰4회,80,,대항력있는임차인,4~7층,소형,1,202109,0,1,강서구,서울특별시 강서구 화곡동,서울특별시 강서구 화곡동 351-24,584,서울특별시 강서구 화곡동 351-24,,,
서울남부4계,2020-105132,2020,아파트,"서울특별시 금천구 시흥동 801-3, 4층 402호 (시흥동,가온빌리지)",,시흥동,801-3,,402호,4.0,가온빌리지,29.74,18.6,178000000,91136000,,2021-09-01,2021,9,1,유찰3회,51,,"대항력있는임차인,형식적경매",4~7층,소형,1,202109,0,1,금천구,서울특별시 금천구 시흥동,서울특별시 금천구 시흥동 801-3,330,서울특별시 금천구 시흥동 801-3,,,
서울남부3계,2020-5706,2020,아파트,"서울특별시 양천구 신월동 98-9, 제2층 제202호 (신월동,하나하이츠)",,신월동,98-9,0,202호,2.0,하나하이츠,53.58,30.72,212000000,135680000,188100000.0,2021-07-21,2021,7,21,매각,64,89.0,,지하~3층,소형,1,202107,1,0,양천구,서울특별시 양천구 신월동,서울특별시 양천구 신월동 98-9,496,서울특별시 양천구 신월동 98-9,,,
서울남부4계,2020-110424,2020,아파트,"서울특별시 영등포구 영등포동1가 75-4, 제9층 제902호 (영등포동1가, 메트로가든)",,영등포동1가,75-4,0,902호,9.0,메트로가든,12.97,5.22,143000000,114400000,120660000.0,2021-07-14,2021,7,14,매각,80,84.0,선순위전세권,8~12층,소형,1,202107,1,1,영등포구,서울특별시 영등포구 영등포동1가,서울특별시 영등포구 영등포동1가 75-4,295,서울특별시 영등포구 영등포동1가 75-4,메트로가든오피스텔,37.5177494284636,126.91347953514
서울서부1계,2020-3808,2020,아파트,"서울특별시 마포구 서교동 490, 아파트동 14층101동1406호 (서교동,메세나폴리스)",,서교동,490,아파트동,1406호,14.0,메세나폴리스,142.034,26.39,1733000000,1733000000,1869999999.0,2021-07-13,2021,7,13,매각,100,108.0,법정지상권,13~20층,초대형,1,202107,1,1,마포구,서울특별시 마포구 서교동,서울특별시 마포구 서교동 490,642,서울특별시 마포구 서교동 490,메세나폴리스아파트,37.55093530307955,126.91378068787876
서울중앙2계,2020-1845,2020,아파트,"서울특별시 강남구 청담동 69-18, 101동 12층1203호 (청담동,청담동양파라곤)",,청담동,69-18,101동,1203호,12.0,69-18청담동양파라곤,171.1005,87.666,3440000000,3440000000,3953999000.0,2021-07-08,2021,7,8,매각,100,115.0,,8~12층,초대형,1,202107,1,0,강남구,서울특별시 강남구 청담동,서울특별시 강남구 청담동 69-18,674,서울특별시 강남구 청담동 69-18,청담동양파라곤아파트,37.52164289524498,127.05441633918709
서울중앙2계,2020-101356,2020,아파트,"서울특별시 서초구 반포동 88-4, 2층 202호 (반포동,서래아르드빌)",,반포동,88-4,0,202호,2.0,서래아르드빌,200.4,86.73,1860000000,1190400000,1595000000.0,2021-07-08,2021,7,8,매각,64,86.0,,지하~3층,초대형,1,202107,1,0,서초구,서울특별시 서초구 반포동,서울특별시 서초구 반포동 88-4,316,서울특별시 서초구 반포동 88-4,아르드빌아파트,37.49516948281842,126.99848130421198
서울서부6계,2020-3426,2020,아파트,"서울특별시 마포구 망원동 412-19, 5층501호 (망원동,뉴서울아파트)",,망원동,412-19,0,501호,5.0,뉴서울아파트,53.01,25.43,340000000,340000000,430100000.0,2021-07-06,2021,7,6,매각,100,127.0,,4~7층,소형,1,202107,1,0,마포구,서울특별시 마포구 망원동,서울특별시 마포구 망원동 412-19,48,서울특별시 마포구 망원동 412-19,뉴서울아파트,37.55590103899917,126.90709883219392
서울서부3계,2020-3471,2020,아파트,"서울특별시 용산구 이촌동 300-10, 8층802호",,이촌동,300-10,0,802호,8.0,,177.62,33.058,1620000000,1620000000,1700000000.0,2021-07-06,2021,7,6,매각,100,105.0,,8~12층,초대형,1,202107,1,0,용산구,서울특별시 용산구 이촌동,서울특별시 용산구 이촌동 300-10,435,서울특별시 용산구 이촌동 300-10,점보아파트,37.51804949833176,126.97870235870823
